longitude;latitude;observationId;Temperatura_Media_Anual_GrausC;Precipitacao_Media_Anual_mm;Temperatura_Media_Janeiro_GrausC;Temperatura_Media_Fevereiro_GrausC;Temperatura_Media_Marco_GrausC;Temperatura_Media_Abril_GrausC;Temperatura_Media_Maio_GrausC;Temperatura_Media_Junho_GrausC;Temperatura_Media_Julho_GrausC;Temperatura_Media_Agosto_GrausC;Temperatura_Media_Setembro_GrausC;Temperatura_Media_Outubro_GrausC;Temperatura_Media_Novembro_GrausC;Temperatura_Media_Dezembro_GrausC;Precipitacao_Media_Janeiro_mm;Precipitacao_Media_Fevereiro_mm;Precipitacao_Media_Marco_mm;Precipitacao_Media_Abril_mm;Precipitacao_Media_Maio_mm;Precipitacao_Media_Junho_mm;Precipitacao_Media_Julho_mm;Precipitacao_Media_Agosto_mm;Precipitacao_Media_Setembro_mm;Precipitacao_Media_Outubro_mm;Precipitacao_Media_Novembro_mm;Precipitacao_Media_Dezembro_mm;Capacidade_Armazenamento_Agua_mm;Teor_Argila_Subsolo_%;Teor_Cascalho_Subsolo_%;Teor_Carbono_Organico_Subsolo_%;Teor_Areia_Subsolo_%;Teor_Silte_Subsolo_%;Teor_Argila_Cam_Superior_%;Teor_Cascalho_Cam_Superior_%;Teor_Carbono_Organico_Cam_Superior_%;Teor_Areia_Cam_Superior_%;Teor_Silte_Cam_Superior_%;Classificacao_Clima_KoeppenGeiger;Isotermalidade;Sazonalidade_Temperatura
-42.51;-22.86;23027.0;23.0;1079.0;25.0;25.0;25.0;23.0;21.0;20.0;20.0;20.0;21.0;22.0;23.0;24.0;13.0;11.0;11.0;8.0;7.0;4.0;3.0;3.0;6.0;9.0;11.0;15.0;150.0;53.1;8.0;0.553;32.6;14.3;29.6;12.4;1.247;51.9;18.5;1.0;0.57;19.22
-42.55;-22.28;222236.0;18.2;1501.0;21.0;21.0;20.0;17.0;16.0;15.0;15.0;16.0;17.0;18.0;19.0;19.0;23.0;18.0;18.0;10.0;6.0;4.0;3.0;4.0;6.0;11.0;17.0;25.0;132.5;53.1;50.303;0.9909;32.6;14.3;43.25;6.525;18.362;36.05;20.7;2.0;0.6;20.43
-42.55;-22.28;222237.0;18.2;1501.0;21.0;21.0;20.0;17.0;16.0;15.0;15.0;16.0;17.0;18.0;19.0;19.0;23.0;18.0;18.0;10.0;6.0;4.0;3.0;4.0;6.0;11.0;17.0;25.0;132.5;53.1;50.303;0.9909;32.6;14.3;43.25;6.525;18.362;36.05;20.7;2.0;0.6;20.43
-43.68;-22.77;967220.0;23.4;1297.0;26.0;26.0;25.0;23.0;22.0;21.0;20.0;21.0;21.0;22.0;24.0;24.0;16.0;15.0;17.0;12.0;7.0;4.0;4.0;4.0;7.0;10.0;12.0;17.0;150.0;53.1;8.0;0.553;32.6;14.3;29.6;12.4;1.247;51.9;18.5;3.0;0.58;19.66
-43.68;-22.77;967221.0;23.4;1297.0;26.0;26.0;25.0;23.0;22.0;21.0;20.0;21.0;21.0;22.0;24.0;24.0;16.0;15.0;17.0;12.0;7.0;4.0;4.0;4.0;7.0;10.0;12.0;17.0;150.0;53.1;8.0;0.553;32.6;14.3;29.6;12.4;1.247;51.9;18.5;3.0;0.58;19.66
-43.68;-22.77;967222.0;23.4;1297.0;26.0;26.0;25.0;23.0;22.0;21.0;20.0;21.0;21.0;22.0;24.0;24.0;16.0;15.0;17.0;12.0;7.0;4.0;4.0;4.0;7.0;10.0;12.0;17.0;150.0;53.1;8.0;0.553;32.6;14.3;29.6;12.4;1.247;51.9;18.5;3.0;0.58;19.66
-43.68;-22.77;967223.0;23.4;1297.0;26.0;26.0;25.0;23.0;22.0;21.0;20.0;21.0;21.0;22.0;24.0;24.0;16.0;15.0;17.0;12.0;7.0;4.0;4.0;4.0;7.0;10.0;12.0;17.0;150.0;53.1;8.0;0.553;32.6;14.3;29.6;12.4;1.247;51.9;18.5;3.0;0.58;19.66
-43.68;-22.77;967224.0;23.4;1297.0;26.0;26.0;25.0;23.0;22.0;21.0;20.0;21.0;21.0;22.0;24.0;24.0;16.0;15.0;17.0;12.0;7.0;4.0;4.0;4.0;7.0;10.0;12.0;17.0;150.0;53.1;8.0;0.553;32.6;14.3;29.6;12.4;1.247;51.9;18.5;3.0;0.58;19.66
-43.68;-22.77;967225.0;23.4;1297.0;26.0;26.0;25.0;23.0;22.0;21.0;20.0;21.0;21.0;22.0;24.0;24.0;16.0;15.0;17.0;12.0;7.0;4.0;4.0;4.0;7.0;10.0;12.0;17.0;150.0;53.1;8.0;0.553;32.6;14.3;29.6;12.4;1.247;51.9;18.5;3.0;0.58;19.66
-43.68;-22.77;967226.0;23.4;1297.0;26.0;26.0;25.0;23.0;22.0;21.0;20.0;21.0;21.0;22.0;24.0;24.0;16.0;15.0;17.0;12.0;7.0;4.0;4.0;4.0;7.0;10.0;12.0;17.0;150.0;53.1;8.0;0.553;32.6;14.3;29.6;12.4;1.247;51.9;18.5;3.0;0.58;19.66
